Tirana 's national library has three copies of the " Book of Mass ' . "	S-LOC O O O O O O O O O B-MISC I-MISC E-MISC O O O
Banisadr angered Tehran last week by accusing top Iranian leaders of ordering the assassination of Iranian Kurdish leaders in a Berlin restaurant in 1992 .	S-PER O S-LOC O O O O O S-MISC O O O O O O B-MISC E-MISC O O O S-LOC O O O O
Men 's singles	O O O
VALLETTA 1996-08-24	S-LOC O
At least one of the unidentified hijackers was apparently armed with grenades and TNT and threatened to blow the plane up in Cyprus unless it was refuelled so they could fly to Britain to claim political asylum .	O O O O O O O O O O O O O O O O O O O O O O S-LOC O O O O O O O O O S-LOC O O O O O
Results of first round matches on Tuesday in the U.S. Open tennis championships at the National Tennis Centre ( prefix denotes seeding ) :	O O O O O O O O O B-MISC E-MISC O O O O B-LOC I-LOC E-LOC O O O O O O
minutes 31.081 seconds )	O O O O
- English langage to be taught as of the eighth year of the primary school instead of the third year of the secondary school .	O S-MISC O O O O O O O O O O O O O O O O O O O O O O O
" Our moisture situation is excellent , especially for fall planting of winter wheat , " said Kim Anderson , extension wheat marketing economist at Oklahoma State University .	O O O O O O O O O O O O O O O O O B-PER E-PER O O O O O O O O O O
U.S. wheat weekly export sales highlights - USDA .	S-LOC O O O O O O O O
They can be flown in quieter ways , " a spokesman said .	O O O O O O O O O O O O O
A Vietnamese man who tried to take a snooze in a railway boxcar in Canada found himself locked in and bound for Alaska with no food or water .	O S-MISC O O O O O O O O O O O O S-LOC O O O O O O O S-LOC O O O O O O
Kocinski led for the early laps before he was passed first by Aoki , who recorded the fastest lap of 147.786 kph , and then by Takeda .	S-PER O O O O O O O O O O O S-PER O O O O O O O O O O O O O S-PER O
MOTOR RACING - BELGIAN GRAND PRIX PRACTICE TIMES .	O O O S-MISC B-MISC E-MISC O O O
EASTERN DIVISION	B-MISC E-MISC
G. Whittall b Reiffel 11	B-PER E-PER O S-PER O
Guy Whittingham stole three points for the Yorkshire side with a goal 10 minutes from time .	B-PER E-PER O O O O O O O O O O O O O O O
soccer matches on Friday :	O O O O O
Doetinchem 1 ( Schultz 4th ) .	O O O S-PER O O O
GOLF - GERMAN OPEN FIRST ROUND SCORES .	O O B-MISC E-MISC O O O O
Feyenoord Rotterdam suffered an early shock when they went 1-0 down after four minutes against de Graafschap Doetinchem .	O O O O O O O O O O O O O O O O O O O
Rubin 's misfortune turned into a very lucky break for eighth-seeded Olympic champion Lindsay Davenport .	S-PER O O O O O O O O O O S-MISC O B-PER E-PER O
Zeng Yaqiong ( China ) beat Li Feng ( New Zealand ) 11-9 11-6	B-PER E-PER O S-LOC O O B-PER E-PER O B-LOC E-LOC O O O
WARSAW 1996-08-24	S-LOC O
Javier Sanchez ( Spain ) beat David Skoch ( Czech Republic ) 6-2 7-6 ( 7-0 ) 6-3	B-PER E-PER O S-LOC O O B-PER E-PER O B-LOC E-LOC O O O O O O O
Final :	O O
Durum bids were steady after jumping 50 cents per bushel in some areas on Monday .	O O O O O O O O O O O O O O O O
The economy is not recovering smoothly or at a fast pace . "	O O O O O O O O O O O O O
Two world records are in serious danger of being broken at the meeting -- the women 's 1,000 metres and the men 's 3,000 metres .	O O O O O O O O O O O O O O O O O O O O O O O O O O
Results of English league soccer	O O S-MISC O O
-- U.S. Municipal Desk , 212-859-1650	O O O O O O
Cruzeiro 2 Vitoria 1	O O O O
NEW YORK 1996-08-28	B-LOC E-LOC O
3. Sven Teutenberg ( Germany ) U.S. Postal	O B-PER E-PER O S-LOC O O O
" I have been watching him for several weeks now and have no doubts he brings real quality to the side .	O O O O O O O O O O O O O O O O O O O O O O
Cup qualifying round , second leg soccer matches on Thursday :	S-MISC O O O O O O O O O O
SALANG TUNNEL , Afghanistan 1996-08-29	S-LOC O O S-LOC O
The company said it was not aware of any reason for the surge .	O O O O O O O O O O O O O O
" This really indicates we 're back in the business , " William Luehrs , president of the Glenview , Ill.-based company 's Networks Services Division , said in a telephone interview . "	O O O O O O O O O O O O B-PER E-PER O O O O S-LOC O S-MISC O O O O O O O O O O O O O
Boston 7 CALIFORNIA 4	O O O O
Fiscal policy was expected to be loosened a bit in the second half of this year , boosting growth without running into a deficit .	O O O O O O O O O O O O O O O O O O O O O O O O O
Major League Baseball	B-MISC I-MISC E-MISC
One warrant controls one share .	O O O O O O
Final dividend ( cents ) 4.0 vs 4.0	O O O O O O O O
1997 6.59 12.2 3.10	O O O O
" There were big buyers at the base of where the market sold to , and when the currency got bought back on talk of a samurai the market got bought back again , " a dealer said .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
66 Gavin Levenson ( South Africa )	O B-PER E-PER O B-LOC E-LOC O
Others advancing early on Monday included 11th-seeded American Malivai Washington , the Wimbledon runner-up , Sweden 's Magnus Gustafsson , and two-time former French Open champion Sergi Bruguera of Spain , who will be Stich 's next opponent .	O O O O O O O S-MISC B-PER E-PER O O S-MISC O O S-LOC O B-PER E-PER O O O O B-MISC E-MISC O B-PER E-PER O S-LOC O O O O S-PER O O O O
Chris Lewis did his best to forget his controversial omission from the England one-day squad on Sunday but could not prevent Pakistan reasserting their dominance in the final test at The Oval .	B-PER E-PER O O O O O O O O O O S-LOC O O O O O O O O S-LOC O O O O O O O O B-LOC E-LOC O
Dole blasts Clinton for ignoring teen drug use .	S-PER O S-PER O O O O O O
European bourses closed mixed on Tuesday with London clawing back most of the day 's losses despite an unsteady start on wall Street , hit by inflation worries .	S-MISC O O O O O O S-LOC O O O O O O O O O O O O O O O O O O O O O
The differential is not normally as wide as this , " he added .	O O O O O O O O O O O O O O
NEW YORK 1996-08-28	B-LOC E-LOC O
He told Reuters the reason was his own front-page editorial , entitled " A Chronic Mental Illness " in which he attacks compliant Arab leaders for serving U.S. and Israeli interests .	O O O O O O O O O O O O O O O O O O O O O O O S-MISC O O O S-LOC O S-MISC O O
NEW YORK AT SEATTLE	O O O S-LOC
At Minnesota , Marty Cordova and Matt Lawton hit solo homers and Frankie Rodriguez allowed six hits over seven innings to earn his first win as a starter in a month as the Minnesota Twins held on to beat the Texas Rangers 6-5 .	O S-LOC O B-PER E-PER O B-PER E-PER O O O O B-PER E-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The plugged wells have accounted for a dip of 30,000 barrels per day ( bpd ) in Heidrun output to roughly 220,000 bpd , according to the company 's Status Weekly newsletter .	O O O O O O O O O O O O O O O O O S-LOC O O O O O O O O O O O O O O O
Playing Sunday :	O O O
Semifinals :	O O
Fall of wicket : 1-129	O O O O O
Unseeded Patrick Rafter recorded the most noteworthy result as he upset sixth-seeded American MaliVai Washington 6-2 6-1 in just 50 minutes .	O B-PER E-PER O O O O O O O O O S-MISC B-PER E-PER O O O O O O O
SV Hamburg 4 2 0 2 7 7 6	O O O O O O O O O
F.C. Farul Constanta 3 Chindia Tirgoviste 1	O O O O O O O
Aid agency says Sudan missionaries released .	O O O S-LOC O O O
6,000 .	O O
" If they spend all this money moving the copper to Yingkou , it will be sitting there for years , " he said .	O O O O O O O O O O O S-LOC O O O O O O O O O O O O O
" We want to help turn down the rhetoric in a country that borders former Yugoslavia yet in which people are still talking about secession , " he added .	O O O O O O O O O O O O O O O S-LOC O O O O O O O O O O O O O O
OAKLAND 63 71 .470 13 1/2	O O O O O O
Yugo Zastava workers ' protest enters 2nd week .	O O O O O O O O O
Dean Palmer hit his 30th homer for the Rangers .	B-PER E-PER O O O O O O O O
CLEVELAND 76 53 .589 -	O O O O O
KANSAS CITY AT DETROIT	O O O S-LOC
2. Corser 269	O S-PER O
The total number of victims was still unknown .	O O O O O O O O O
MANAMA 1996-08-26	S-LOC O
3. Kennedy Ochieng ( Kenya ) 46.21	O B-PER E-PER O S-LOC O O
Dozens of people opposed to the government are in detention .	O O O O O O O O O O O
" The ultimatum ( to storm Grozny ) is no longer an issue , " he said quoting Ischinger , who had been sent to Moscow by German Foreign Minister Klaus Kinkel as his personal envoy to urge an end to Moscow 's military campaign in the breakaway region .	O O O O O O S-LOC O O O O O O O O O O O S-PER O O O O O O S-LOC O S-MISC O O B-PER E-PER O O O O O O O O O S-LOC O O O O O O O O
A year later IVAC improved its system with the addition of an IV pump that regulated the flow of liquids through positive pressure .	O O O O O O O O O O O O O O O O O O O O O O O O
Batting :	O O
Brisbane 10.11 ( 71 ) Fremantle 10.10 ( 70 )	O O O O O O O O O O
BELGRADE 1996-08-25	S-LOC O
Juventus have won the European Cup twice .	O O O O B-MISC E-MISC O O
But Russian President Boris Yeltsin has seemed unwilling to meet his envoy and went on holiday on Monday .	O S-MISC O B-PER E-PER O O O O O O O O O O O O O O
He said the note , believed to have been hand-written in Spanish and signed by the victims , was addressed to Ebe Huizinga , another Dutch citizen who owns the tree plantation . "	O O O O O O O O O O O S-MISC O O O O O O O O O B-PER E-PER O O S-MISC O O O O O O O O
" We were made to sweat to win , " he said .	O O O O O O O O O O O O O
Amount $ 0.21 $ 0.19	O O O O O
A backwardation occurs when the spot price of a metal is higher than the forward price .	O O O O O O O O O O O O O O O O O
On a weekend overshadowed by Friday 's fatal accident , four times world champion Kankunnen emerged from the first five of Saturday 's 10 stages with a commanding advantage over his country 's latest prospect , Marcus Gronholm , also in a Toyota .	O O O O O O O O O O O O O O S-PER O O O O O O O O O O O O O O O O O O O O O B-PER E-PER O O O O O O
Paris St Germain 1 ( Loko 33rd ) Nantes 0 .	O O O O O S-PER O O O O O
The outbreak has prompted authorities to tighten sanitary standards at slaughterhouses and meatpacking plants and sparked calls for an overhaul of the nation 's school lunch programme .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
It will be Jorge 's first game in charge of the national squad since taking over from Antonio Oliveira , who now coaches Porto , at the end of Euro 96 .	O O O S-PER O O O O O O O O O O O O O B-PER E-PER O O O O O O O O O O B-MISC E-MISC O
LOMBARDI WINS THIRD STAGE OF TOUR OF NETHERLANDS .	S-PER O O O O B-MISC I-MISC E-MISC O
Two dead in Cambodia helicopter crash .	O O O S-LOC O O O
Pakistan beat England by nine wickets on the fifth day of the third and final test at The Oval on Monday to win the series 2-0 .	S-LOC O S-LOC O O O O O O O O O O O O O O B-LOC E-LOC O O O O O O O O
4. Marcus Gronholm ( Finland ) Toyota Celica 2:42	O B-PER E-PER O S-LOC O B-MISC E-MISC O
CHICAGO 70 63 .526 9	O O O O O
OPTIONS - Euro debt vols seen regrouping after fall .	O O S-MISC O O O O O O O
The report , which could not be independently verified on Wednesday night , said Pessina was sentenced in Italy to eight years and 11 months in prison for robbery and illegal weapons and explosives possession .	O O O O O O O O O O O O O O S-PER O O O S-LOC O O O O O O O O O O O O O O O O O
MILWAUKEE 60 68 .469 16 1/2	O O O O O O
Barcelona 's Hristo Stoichkov made his only significant contribution of the evening 10 minutes after halftime when Sergi Barjuan broke down the right to set up the fiery Bulgarian with a simple equaliser .	O O B-PER E-PER O O O O O O O O O O O O O B-PER E-PER O O O O O O O O O S-MISC O O O O O
Radio stations said around 15,000 farmers , angered by a fall in beef prices following the mad cow disease crisis , staged protests in many areas and blockaded several main roads and motorways .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
TENNIS - RESULTS AT CANADIAN OPEN .	O O O O B-MISC E-MISC O
Ai Sugiyama ( Japan ) beat Jana Kandarr ( Germany ) 6-2 6-1	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O
Pachuca 3 Toluca 0	O O O O
+2 Clarence Rose through 9	O B-PER E-PER O O
4 - Kimiko Date ( Japan ) beat Yone Kamio ( Japan ) 6-2 7-5	O O B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O
Barnet 3 1 1 1 4 2 4	O O O O O O O O
3/4 - Marlene Thomsen / Lisbet Stuer-Lauridsen ( Denmark ) beat	O O B-PER E-PER O B-PER E-PER O S-LOC O O
The SEC 's limit order display rule will mean a major change for Nasdaq , where such orders have never been displayed .	O O O O O O O O O O O O O S-MISC O O O O O O O O O
KABUL 1996-08-27	S-LOC O
Clinton was to deliver his acceptance speech at the final session of the Democratic Convention opening at 8 p.m. EDT ( midnight GMT ) .	S-PER O O O O O O O O O O O O B-MISC E-MISC O O O O O O O S-MISC O O
8. Fabio Baldato ( Italy ) 11 seconds behind	O B-PER E-PER O S-LOC O O O O
No-one will argue with that .	O O O O O O
4 - Jacek Dembinski ( Widzew Lodz ) , Marcin Mieciel	O O B-PER E-PER O O O O O B-PER E-PER
CSKA Moscow 25 13 6 6 40 27 45	O O O O O O O O O
The Russians , who said they overpowered the guards -- two armed with Kalashnikov automatic rifles -- while doing regular maintenance work on their Ilyushin 76 cargo plane last Friday , left the UAE capital Abu Dhabi for home on Sunday .	O S-MISC O O O O O O O O O O O S-MISC O O O O O O O O O O B-MISC E-MISC O O O O O O O S-LOC O B-LOC E-LOC O O O O O
Final day	O O
The hearing is due to resume on Thursday .	O O O O O O O O O
If he survives , Muster is seeded to run into either fifth-seeded Wimbledon champion Richard Krajicek of the Netherlands or 12th-seeded American Todd Martin in the quarter-finals in Chang 's half of the draw .	O O O O S-PER O O O O O O O S-MISC O B-PER E-PER O O S-LOC O O S-MISC B-PER E-PER O O O O S-PER O O O O O O
Fortuna Duesseldorf 4 1 1 2 1 7 4	O O O O O O O O O
CALL C 98.00 PCT 0.47 DEM 3.30 PCT 202.90 X	O O O O O S-MISC O O O O
LUSAKA 1996-08-28	S-LOC O
Salomon & Taylor - 96/97 div forecast .	O O O O O O O O
Add grid :	O O O
70 71 74	O O O
To bat : Wasim Akram , Moin Khan , Mushtaq Ahmed , Waqar Younis ,	O O O B-PER E-PER O B-PER E-PER O B-PER E-PER O B-PER E-PER O
He again accused the news media of erroneous reporting on his case but did not signal any plans for lawsuits as he did on Wednesday in an address at a jam-packed Washington church .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O S-LOC O O
Iran has accused Iraq of violating the ceasefire ending their 1980-88 war some 32 times between the end of March and May 31 this year , the Iranian news agency IRNA reported on Saturday .	S-LOC O O S-LOC O O O O O O O O O O O O O O O O O O O O O O O S-MISC O O O O O O O
NZ motorist 's arrest brings free flight to Tonga .	S-LOC O O O O O O O S-LOC O
NEW YORK 1996-08-29	B-LOC E-LOC O
Attendance : 8,000	O O O
As a result , separatist Serb authorities have packed former Moslem majority towns with refugees of their own or registered other Serbs to vote there .	O O O O O S-MISC O O O O S-MISC O O O O O O O O O O S-MISC O O O O
Inzamam-ul-Haq 3 5 0 320 148 64.00	S-PER O O O O O O
RUGBY LEAGUE - EUROPEAN SUPER LEAGUE RESULTS / STANDINGS .	B-MISC E-MISC O B-MISC I-MISC E-MISC O O O O
Chelsea " is a very poised young lady , but she 's not that much interested in politics , " the spokesman said .	S-PER O O O O O O O O O O O O O O O O O O O O O O O
In New York , Wally Whitehurst allowed two runs over seven innings for his first win in more than two years and Paul O'Neill 's three-run double snapped a sixth-inning tie as the New York Yankees held on for a 5-4 victory over the Oakland Athletics .	O B-LOC E-LOC O B-PER E-PER O O O O O O O O O O O O O O O O B-PER E-PER O O O O O O O O O O O O O O O O O O O O O O O
