S. Korea Daewoo , Dacom units in Polish telecom JV .	B-LOC E-LOC S-ORG O S-ORG O O S-MISC O O O
But he added that new research into the dynamics of the bovine spongiform encephalopathy ( BSE ) , a fatal brain-wasting disease suffered by cattle , was unlikely to alter a slaughter plan agreed by Britain and its 14 EU partners .	O O O O O O O O O O O O O O O S-MISC O O O O O O O O O O O O O O O O O O O S-LOC O O O S-ORG O O
69 Jose Coceres ( Argentina ) , Raymond Russell , Robert Allenby	O B-PER E-PER O S-LOC O O B-PER E-PER O B-PER E-PER
FC Karvina 3 1 1 1 3 5 4	B-ORG E-ORG O O O O O O O
" The United States reiterates its full commitment to the implementation " of the accords signed by the two countries in 1994 and 1995 , said the statement by spokesman Glyn Davies .	O O B-LOC E-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O B-PER E-PER O
He ( Mind Games ) was going as well as any of them one and a half furlongs ( 300 metres ) out but he just did n't quicken . "	O O B-PER E-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O
" We 'll build a lot of these devices into television sets , for digital television , " he said . "	O O O O O O O O O O O O O O O O O O O O O O
PITTSBURGH 56 76 .424 15	S-ORG O O O O
Naoko Sawamatsu ( Japan ) beat Rennae Stubbs ( Australia ) 6-4 6-3	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O
TOTAL 1,113,785 up 3.8	O O O O
The majority shareholder , with 51 percent , or 353.24 million shares , is Jiangling Motors Group .	O O O O O O O O O O O O O O B-ORG I-ORG E-ORG O
England soccer manager Glen Hoddle confirmed on Wednesday that the Liverpool pair of Steve McManaman and Robbie Fowler would miss England 's World Cup qualifying match against Moldova on Sunday .	S-LOC O O B-PER E-PER O O O O O S-ORG O O B-PER E-PER O B-PER E-PER O O S-LOC O B-MISC E-MISC O O O S-LOC O O O
69 76 73 , Mark Roe 69 71 78	O O O O B-PER E-PER O O O
Feyenoord Rotterdam 3 2 1 0 6 2 7	B-ORG E-ORG O O O O O O O
Series one-day ( 50 overs ) cricket match between Australia and	S-MISC O O O O O O O O S-LOC O
Rugby league-Australian rugby league results .	O S-MISC O O O O
TORONTO 1996-08-25	S-LOC O
Yeltsin went on a two-day trip outside Moscow last week to check out a holiday home .	S-PER O O O O O O S-LOC O O O O O O O O O
1-0 .	O O
Saboteurs blew up a Serb orthodox church in southern Croatia on Friday with a blast which also damaged four nearby homes , the state news agency Hina reported .	O O O O S-MISC O O O O S-LOC O O O O O O O O O O O O O O O O S-ORG O O
" Lebed has no diplomatic experience .	O S-PER O O O O O
OB 1 Lotte 1	S-ORG O S-PER O
LOS ANGELES 66 60 .524 2 1/2	B-ORG E-ORG O O O O O
" Investors unloaded their shares due to the poor earnings outlook following a sharp profit decline .	O O O O O O O O O O O O O O O O O
" The Democratic party have requested we bring our placards with us .	O O S-MISC O O O O O O O O O O
" We are stubborn , have strength and time to persist until our demands are met , " said the factory 's trade union secretary Dragutin Stanojlovic .	O O O O O O O O O O O O O O O O O O O O O O O O O B-PER E-PER O
Although protests may have contributed to the decision it has been seen primarily as economic rather than ecological .	O O O O O O O O O O O O O O O O O O O
The 32-year-old Bonds is hitting .307 with 35 homers and 107 RBI and has been one of the few bright spots for the last-place Giants .	O O S-PER O O O O O O O O S-MISC O O O O O O O O O O O O S-ORG O
PITTSBURGH 55 73 .430 13	S-ORG O O O O
During his visit to Slovenia , Kwasniewski is also scheduled to meet Prime Minister Janez Drnovsek , representatives of Slovenian political parties and representatives of the Chamber of Economy .	O O O O S-LOC O S-PER O O O O O O O B-PER E-PER O O O S-MISC O O O O O O B-ORG I-ORG E-ORG O
Until this date the free circulation of peoples and goods should be guaranteed , the government administration installed in all areas and the Unita deputies should occupy their places in the National Assembly .	O O O O O O O O O O O O O O O O O O O O O O O S-ORG O O O O O O O B-ORG E-ORG O
Judith Wiesner ( Austria ) beat 5 - Iva Majoli ( Croatia ) 2-6 6-3 6- 1	B-PER E-PER O S-LOC O O O O B-PER E-PER O S-LOC O O O O O
A former lawyer , he was in the front line of President Bill Clinton 's battle with the Republican-led Congress over the budget but has opposed the president 's decision to sign the Republican-written welfare reform bill .	O O O O O O O O O O O O B-PER E-PER O O O O S-MISC S-ORG O O O O O O O O O O O O O S-MISC O O O O
A trio of hungry fans at the food court who had already forked over the lasagna money pronounced it good , but Carol Perry chimed in , " The water is ridiculous , they want four dollars for the water , you might as well get a glass of wine . "	O O O O O O O O O O O O O O O O O O O O O O B-PER E-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The Vatican and the mother superior in Dublin approved and after intensive training as a nurse with American missionaries she opened her first Calcutta slum school in December 1949 .	O S-LOC O O O O O S-LOC O O O O O O O O O S-MISC O O O O O S-LOC O O O O O O
Midwest direct cash hog prices Tuesday were seen steady following strong demand Monday that lifted prices as much as $ 1.50 per cwt in some areas , livestock dealers said .	S-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
That is why I will no longer be deputy by the time the film opens . "	O O O O O O O O O O O O O O O O O
MANCHESTER , England 1996-08-27	S-LOC O S-LOC O
rugby league match on Monday :	O O O O O O
Men 's singles , second round	O O O O O O
TEXAS AT KANSAS CITY	S-ORG O B-LOC E-LOC
But more than that , he 's very resolute about what he wants to do . "	O O O O O O O O O O O O O O O O O
LONDON 1996-08-26	S-LOC O
Lamm will not endorse Perot for Reform ticket-CNN .	S-PER O O O S-PER O B-MISC E-MISC O
Paralympics an example for gloomy France-Juppe .	S-MISC O O O O S-MISC O
287 Costantino Rocca ( Italy ) 74 71 75 67 , Clarence Rose 72 71	O B-PER E-PER O S-LOC O O O O O O B-PER E-PER O O
CAPE TOWN 1996-08-25	B-LOC E-LOC O
He cited Coetzee , who was charged with murder after confessing in media interviews to dirty tricks .	O O S-PER O O O O O O O O O O O O O O O
-- Paris Newsroom +33 1 42 21 53 81	O B-ORG E-ORG O O O O O O
Tamils demonstrate outside U.N. headquarters .	S-MISC O O S-ORG O O
WELLINGTON 1996-08-28	S-LOC O
The revaluation was undertaken to meet the disclosure	O O O O O O O O
Hanwha 55 1 48 .534 8	S-ORG O O O O O
JOHANNESBURG 1996-08-26	S-LOC O
" I 'm looking forward to this race .	O O O O O O O O O
Police stormed ten residence halls on the campus , flushed out people at gunpoint and searched their baggage .	O O O O O O O O O O O O O O O O O O O
German police made Nazi gestures , officials say .	S-MISC O O S-MISC O O O O O
" Remarkably both the train driver and the truck driver were not injured , " the rail spokesman said .	O O O O O O O O O O O O O O O O O O O O
" It is hoped that livestock breeders and feedmillers will abide by the laws and respect the cabinet decision in the interest of consumer safety , " Health Minister Chua Jui Meng was quoted as saying by the national Bernama news agency .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PER E-PER O O O O O O O O S-ORG O O O
A few kilometres ( miles ) down the two-lane road which passes Odnosum 's farm , where the occasional horse-drawn buggy passes by , is the 1,700-hectare ( 4,200-acre ) Shevchenko collective farm , built next to a village still neat and tidy despite post-Soviet decay .	O O O O O O O O O O O O S-PER O O O O O O O O O O O O O O O O O S-PER O O O O O O O O O O O O O S-MISC O O
The year-on-year rise was 8.2 percent to June , 1996 .	O O O O O O O O O O O
The ferry , which was towed into port , had been bound for Jersey , another in a cluster of small British-ruled islands off north-west France .	O O O O O O O O O O O O O S-LOC O O O O O O O S-MISC O O O S-LOC O
W L PCT GB	O O O O
" At the moment we have a preliminary list of less than 10 people , but this is just the beginning , " he said .	O O O O O O O O O O O O O O O O O O O O O O O O O O
Pro forma weighted average	O O O O
Queen Beatrix of The Netherlands will pay a four-day state visit to South Africa in October , the first by a ruling Dutch monarch , the South African foreign ministry said on Thursday .	O S-PER O B-LOC E-LOC O O O O O O O B-LOC E-LOC O O O O O O O O S-MISC O O O B-MISC E-MISC O O O O O O
Dutch PTT earlier on Friday repeated a forecast it would improve on 1995 's 2.26 billion guilder net profit for the whole year of 1996 .	B-ORG E-ORG O O O O O O O O O O O O O O O O O O O O O O O O
The company said it continues to believe the majority of the community liaison costs are coverable under the terms of the Medicare program .	O O O O O O O O O O O O O O O O O O O O O S-MISC O O
Scott Draper ( Australia ) vs. Galo Blanco ( Spain )	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O
" I think that it would be very difficult to select which municipal elections would have to be cancelled .	O O O O O O O O O O O O O O O O O O O O
16. Jean-Pierre Van Zyl ( South Africa ) 1:07.258	O B-PER I-PER E-PER O B-LOC E-LOC O O
Sion win 4-2 on agrregate .	S-ORG O O O O O
Sea lion paparazzi to keep tabs on whales .	O O O O O O O O O
Yeltsin 's wife has kidney operation .	S-PER O O O O O O
in the Mexican soccer championship :	O O S-MISC O O O
The official Iraqi News Agency ( INA ) quoted Iraq 's ambassador in Khartoum as saying that Iraq 's embassy in the Sudanese capital had nothing to do with the Monday night hijacking .	O O B-ORG I-ORG E-ORG O S-ORG O O S-LOC O O O S-LOC O O O S-LOC O O O O S-MISC O O O O O O O O O O O
But Medvedev 's ranking slowly began to drop last year as he struggled with a wrist injury .	O S-PER O O O O O O O O O O O O O O O O
LONDON 1996-08-23	S-LOC O
RTRS - Arthur Yates year net A$ 6.1 mln .	S-ORG O B-ORG E-ORG O O S-MISC O O O
" For the first period we were held in a small room with no bed or anything .	O O O O O O O O O O O O O O O O O O
Cardiff 3 1 1 1 1 2 4	S-ORG O O O O O O O
ALLENTOWN , Pa .	S-LOC O S-LOC O
Individual pursuit semifinals ( over 4,000 metres ) :	O O O O O O O O O
Barnsley 3 Huddersfield 1	S-ORG O S-ORG O
" The Nikkei is testing support at the 20,500 level .	O O S-MISC O O O O O O O O
" The premium will be no lower than 15 percent and will be set by management before the issue ...	O O O O O O O O O O O O O O O O O O O O
Shanghai Post and Telecomm net down .	B-ORG I-ORG I-ORG E-ORG O O O
Mass .	S-LOC O
Stoke 2 2 0 0 4 2 6	S-ORG O O O O O O O
Promodes has in Germany its Promo hypermarket unit with 36 Continent superstores , which is 1995 generated 4.7 percent of total Promodes sales .	S-ORG O O S-LOC O O O O O O O O O O O O O O O O O S-ORG O O
Arsenal 3 2 0 1 4 2 6	S-ORG O O O O O O O
President Bill Clinton was formally nominated on Wednesday as the Democratic party candidate for a second four-year term in the White House .	O B-PER E-PER O O O O O O O S-MISC O O O O O O O O O B-LOC E-LOC O
Mark Cairns ( England ) beat Joseph Kneipp ( Australia ) 8-15 15-12 15-8 15-8	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O O O
The premier , who is due to meet his Turkish counterpart Necmettin Erbakan on Tuesday , will also be discussing the postponed Bosnian elections , a foreign ministry official said .	O O O O O O O O O S-MISC O B-PER E-PER O O O O O O O O O S-MISC O O O O O O O O
At least three people were injured when an Amtrak passenger train slammed into an empty logging truck and derailed Tuesday , officials said .	O O O O O O O O S-ORG O O O O O O O O O O O O O O O
DBRS said it also confirmed Power Financial Corp 's senior debentures , cumulative preferred shares and non-cumulative first preferred shares , series B , at AA ( low ) , Pfd-1 and Pfd-1 ( low ) , all with stable trends .	S-ORG O O O O B-ORG I-ORG E-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
NEW YORK 1996-08-27	B-LOC E-LOC O
He declined to say how many people were being considered for asylum .	O O O O O O O O O O O O O
Saudi Arabia provisionally bought 800,000 tonnes of optional-origin barley at an August 21 tender at prices between $ 160 and $ 162 including cost , insurance and freight , traders said last week .	B-LOC E-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Total dividend ( cents ) 6.0 vs 6.0	O O O O O O O O
Aleksandra Olsza ( Poland ) beat 12 - Magdalena Maleeva ( Bulgaria ) 6-4 6-2	B-PER E-PER O S-LOC O O O O B-PER E-PER O S-LOC O O O
Activist groups are no longer seen by British firms as a harmless , badly organised ragbag of students and hippies .	O O O O O O O S-MISC O O O O O O O O O O O O O
As afternoon turned to evening , fourth-seeded Spaniard Conchita Martinez took apart Romanian Ruxandra Dragomir in 58 minutes with the loss of just two games , one more than second seed Monica Seles , who opened the second-day programme by crushing American Anne Miller 6-0 6-1 .	O O O O O O O S-MISC B-PER E-PER O O S-MISC B-PER E-PER O O O O O O O O O O O O O O O O B-PER E-PER O O O O O O O O S-MISC B-PER E-PER O O O
Barnsley 2 2 0 0 5 2 6	S-ORG O O O O O O O
Corser , who crashed during practice on Friday , limped in fourth , four seconds behind Takeda with championship leader Aaron Slight of New Zealand 11 seconds behind the winner .	S-PER O O O O O O O O O O O O O O O S-PER O O O B-PER E-PER O B-LOC E-LOC O O O O O O
Diplomats say they are deadlocked over the RUF 's insistence that foreign troops helping the government army should leave , and that they should have some say in the allocation of budget spending .	O O O O O O O S-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O
5. Federico Colonna ( Italy ) Mapei	O B-PER E-PER O S-LOC O S-ORG
Men 's 800 metres :	O O O O O
11. Frank Nobilo ( New Zealand ) 209,412	O B-PER E-PER O B-LOC E-LOC O O
I just do n't have as many set routines and it 's made me a happier person . "	O O O O O O O O O O O O O O O O O O O
Others connected with the two churches said they shared that suspicion , although all said they knew of no motive and no racial tension in the area .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
An Italian farmer accused of multiple homocide has confessed to mutilating the bodies of four women after having sex with them , the Italian news agency ANSA reported on Saturday .	O S-MISC O O O O O O O O O O O O O O O O O O O O O S-MISC O O S-ORG O O O O
Amica Wronki 3 Hutnik Krakow 0	B-ORG E-ORG O B-ORG E-ORG O
for , against , points ) :	O O O O O O O
Nicklas Kulti ( Sweden ) vs. Jakob Hlasek ( Switzerland )	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O
That 's all I said , " he replied as he was shaking hands with well-wishers .	O O O O O O O O O O O O O O O O O
Lebed said on Wednesday he had clinched a truce with Chechen separatists and he promised to halt a threatened bombing assault on Grozny , which the rebels have held since August 6 .	S-PER O O O O O O O O O S-MISC O O O O O O O O O O O S-LOC O O O O O O O O O O
SOCCER - GERMAN FIRST DIVISION RESULTS .	O O S-MISC O O O O
BISTRITA 1996-08-22	S-LOC O
The Jordanian Arab Socialist Baath Party , which has one deputy in the 80-seat lower house of parliament , has denied involvement in unrest which it blamed on government policies and rising economic hardship .	O B-ORG I-ORG I-ORG I-ORG E-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
MILWAUKEE 61 68 .473 15 1/2	S-ORG O O O O O
EASTERN DIVISION	B-MISC E-MISC
Explaining his premature departure was unavoidable , Pollock said : " I have been carrying the injury for a while and I hope that by having the surgery now I will be able to last out the new season back home . "	O O O O O O O S-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Monterrey 2 Veracruz 1	S-ORG O S-ORG O
Whitehurst , promoted from Triple-A Columbus on Wednesday , allowed seven hits and struck out one without a walk .	S-PER O O O B-ORG E-ORG O O O O O O O O O O O O O O
The thefts occurred Sunday when the victim , New York jewelry wholesaler Jerry Schein , left three suitcases in a closet at Somerset Jewellers in the hotel while he checked out .	O O O O O O O O B-LOC E-LOC O O B-PER E-PER O O O O O O O O B-ORG E-ORG O O O O O O O O
